SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Israel,ISR,Location,Urban,,74.0214738062506,,CENTRAL BUREAU OF STATISTICS,2024-07-08
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Israel,ISR,Family,Children,,76.69603219190402,,CENTRAL BUREAU OF STATISTICS,2026-07-06
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Israel,ISR,Location,No Children,Urban,73.02542813366338,,CENTRAL BUREAU OF STATISTICS,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Israel,ISR,Family,No Children,,73.73026531251392,,CENTRAL BUREAU OF STATISTICS,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Israel,ISR,Location,Rural,,89.02701158306252,,CENTRAL BUREAU OF STATISTICS,2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Israel,ISR,Location,No Children,Rural,85.71515402587416,,CENTRAL BUREAU OF STATISTICS,2026-07-05
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Israel,ISR,Location,Children,Rural,92.88479650304085,,CENTRAL BUREAU OF STATISTICS,2026-07-06
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Israel,ISR,Location,Children,Urban,75.4905552680036,,CENTRAL BUREAU OF STATISTICS,2024-07-08
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Japan,JPN,Location,Children,Rural,99.7560975609756,Estimated by the following method; (The number of households by which the age of householder is more than 20 years old)*(Survey result(%)),Ministry of Internal Affairs and Communications,2024-07-08
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Japan,JPN,Location,No Children,Rural,94.52654256572525,Estimated by the following method; (The number of households by which the age of householder is more than 20 years old)*(Survey result(%)),Ministry of Internal Affairs and Communications,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Japan,JPN,Location,No Children,Urban,95.93938598792968,Estimated by the following method; (The number of households by which the age of householder is more than 20 years old)*(Survey result(%)),Ministry of Internal Affairs and Communications,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Japan,JPN,Family,No Children,,95.00789748837623,Estimated by the following method; (The number of households by which the age of householder is more than 20 years old)*(Survey result(%)),Ministry of Internal Affairs and Communications,2026-07-05
