"MUNICIPIO","TIPO DE EMPRESA","ENTIDAD","TIENE RESIDUOS POSTCONSUMO EN SU CASA?","DONDE ENTREGA LOS RESIDUOS","SABE QUE SIGNIFICA LA SIGLA RAEE","HA PARTICIPADO EN LAS JORNADAS DE RECOLECCION DE RESIDUOS POSTCONSUMO RAEE","COMO SE ENTERARON DE ESTA JORNADA","HA USADO APLICACIONES","UTILIZARIA UNA APP PARA RAEE?"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INDEPENDIENTE","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","REDES SOCIALES","SI","Sí"
"LOS PATIOS","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","CORREO ELECTRÓNICO","SI","Sí, No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","CORREO ELECTRÓNICO","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","NO SABIA QUE EXISTE","NO","Sí"
"LOS PATIOS","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","REDES SOCIALES, TELEVISIÓN","SI","No me interesa el tema"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","NO","No"
"CÚCUTA","PRIVADA","INSTITUTO SALESIANO SAN JUAN BOSCO","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES, RADIO, TELEVISIÓN","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","TRABAJADOR INDEPENDIENTE","NO","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","REDES SOCIALES","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","EMASHOES","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","CORREO ELECTRÓNICO","SI","Sí"
"LOS PATIOS","ESTUDIANTE","I.E SAGRADO CORAZÓN DE JESÚS","NO","LOS DEJO EN CASA","NO","NO","PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","NO TENGO TRABAJO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","CASA","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","NO","No, No me interesa el tema"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","PRODUCTOS FAUMACERTICOS EDUARDO JAVIER BARCO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS DEJO EN CASA","NO","NO","TELEVISIÓN","NO","Sí"
"CÚCUTA","ESTUDIANTE","COLEGIO CLUB DE LEONES","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA, RADIO","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","NO SABIA QUE EXISTE","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","SENA","SI","Sí"
"CÚCUTA","DESEMPLEADO","ESTUDIANTE COLGREMIOS CUCUTA","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","CORREO ELECTRÓNICO","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","SI","No conozco de tecnología"
"CÚCUTA","ESTUDIANTE","COLEGIO GREMIOS UNIDOS","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","SAGRADO CORAZÓN DE JESÚS","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","DESEMPLEADO",,"NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES, RADIO","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","UNIVERSIDAD NACIONAL DE COLOMBIA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","INFORMACION DIRECTA","NO","No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","CORREO ELECTRÓNICO","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","NO TENGO TRABAJO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","NO SABIA QUE EXISTE","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","OTRO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES, INFORMACIÓN DIRECTA","NO","No me interesa el tema"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","DESEMPLEADO","INSTITUTO SALESIANO SAN JUAN BOSCO","NO","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","CORREO ELECTRÓNICO","SI","No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS DEJO EN CASA","NO","NO","CORREO ELECTRÓNICO","NO","No"
"CÚCUTA","PÚBLICA","SAGRADO CORAZÓN DE JESUS","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","TRABAJADOR INDEPENDIENTE","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","No me interesa el tema"
"CÚCUTA","PRIVADA","COLEGIO HISPANOAMERICANO","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","NO","Sí"
