SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Lesotho,LSO,,,,5.115921566693178,,Bureau of Statistics,2026-07-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Lithuania,LTU,Location,No Children,Rural,63.0745530602568,,Statistics Lithuania,2024-07-08
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Lithuania,LTU,,,,76.68226427595346,households in which at least one of the members is between 16 and 74,Statistics Lithuania,2026-07-06
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Lithuania,LTU,Location,Children,Rural,92.93132946047287,,Statistics Lithuania,2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Lithuania,LTU,Location,Urban,,79.2137490396523,,Statistics Lithuania,2024-07-08
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Lithuania,LTU,Location,Rural,,70.87385691983988,,Statistics Lithuania,2026-07-07
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Lithuania,LTU,Family,Children,,94.89529967993629,,Statistics Lithuania,2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Lithuania,LTU,Location,No Children,Urban,73.86677166428203,,Statistics Lithuania,2026-07-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Lithuania,LTU,Location,Children,Urban,95.81303754431667,,Statistics Lithuania,2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Lithuania,LTU,Family,No Children,,70.64428411554306,,Statistics Lithuania,2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,"Macao, China",MAC,,,,75.59493670886076,,Permanent Mission of the People's Republic of China to the United Nations at Geneva,2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Mauritius,MUS,,,,49.92054338075099,Revised estimates,Statistics Mauritius,2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Mexico,MEX,Location,Urban,,50.842323905009934,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Mexico,MEX,,,,43.939616318280706,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Mexico,MEX,Location,Children,Urban,52.650955936512155,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Mexico,MEX,Family,Children,,45.14499544263001,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-06
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Mexico,MEX,Location,No Children,Rural,16.158303632156976,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Mexico,MEX,Location,Rural,,21.149327650224514,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Mexico,MEX,Location,No Children,Urban,49.28928621992615,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Mexico,MEX,Family,No Children,,42.79792353838559,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Mexico,MEX,Location,Children,Rural,24.958424478497765,,Instituto Nacional de Estadística y Geografía (INEGI),2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Malaysia,MYS,Location,Urban,,76.5656654140831,,"Department of Statistics, Malaysia",2024-07-08
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Malaysia,MYS,,,,71.33425952110967,,Department of Statistics,2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Malaysia,MYS,Location,Rural,,50.13211892361604,,"Department of Statistics, Malaysia",2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Maldives,MDV,,,,58.821782291321576,"This is computer/laptop, excluding tablets","National Bureau of Statistics, Ministry of Finance & Treasury",2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Mongolia,MNG,,,,30.14250741285921,Population and Household Registration,National Statistical Office of Mongolia,2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Mongolia,MNG,Location,No Children,Urban,37.047985682144684,,,2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Mongolia,MNG,Location,Rural,,11.697606285143728,,,2026-07-06
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Mongolia,MNG,Family,No Children,,26.274727322650826,,,2026-07-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Mongolia,MNG,Family,Children,,32.38209606334057,,,2026-07-06
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Mongolia,MNG,Location,No Children,Rural,8.823684482319047,,,2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Mongolia,MNG,Location,Children,Rural,14.094577882512255,,,2026-07-06
