departamento,anio,indicador,valor,nivel,fuente,unidad
Cabecera,2018,pct_personas_usan_computador,50.95849774,nacional,DANE_ECV,%
Centros poblados y rural disperso,2018,pct_personas_usan_computador,24.54547865,nacional,DANE_ECV,%
Amazonas,2018,pct_personas_usan_computador,20.42342632,nacional,DANE_ECV,%
Antioquia,2018,pct_personas_usan_computador,43.36796202,nacional,DANE_ECV,%
Arauca,2018,pct_personas_usan_computador,30.20843426,nacional,DANE_ECV,%
Atlántico,2018,pct_personas_usan_computador,42.5998395,nacional,DANE_ECV,%
Bogotá D.C.,2018,pct_personas_usan_computador,64.42998122,nacional,DANE_ECV,%
Bolívar,2018,pct_personas_usan_computador,41.84476538,nacional,DANE_ECV,%
Boyacá,2018,pct_personas_usan_computador,41.98657697,nacional,DANE_ECV,%
Caldas,2018,pct_personas_usan_computador,38.2208849,nacional,DANE_ECV,%
Caquetá,2018,pct_personas_usan_computador,28.67849634,nacional,DANE_ECV,%
Casanare,2018,pct_personas_usan_computador,41.60887784,nacional,DANE_ECV,%
Cauca,2018,pct_personas_usan_computador,37.34074488,nacional,DANE_ECV,%
Cesar,2018,pct_personas_usan_computador,37.43831563,nacional,DANE_ECV,%
Córdoba,2018,pct_personas_usan_computador,35.91273715,nacional,DANE_ECV,%
Cundinamarca,2018,pct_personas_usan_computador,41.82230862,nacional,DANE_ECV,%
Chocó,2018,pct_personas_usan_computador,32.74533351,nacional,DANE_ECV,%
Guainía,2018,pct_personas_usan_computador,24.93533552,nacional,DANE_ECV,%
Guaviare,2018,pct_personas_usan_computador,29.73829189,nacional,DANE_ECV,%
Huila,2018,pct_personas_usan_computador,43.03652385,nacional,DANE_ECV,%
La Guajira,2018,pct_personas_usan_computador,23.93302388,nacional,DANE_ECV,%
Magdalena,2018,pct_personas_usan_computador,40.48113109,nacional,DANE_ECV,%
Meta,2018,pct_personas_usan_computador,38.46840439,nacional,DANE_ECV,%
Nariño,2018,pct_personas_usan_computador,35.81935518,nacional,DANE_ECV,%
Norte de Santander,2018,pct_personas_usan_computador,38.62189678,nacional,DANE_ECV,%
Putumayo,2018,pct_personas_usan_computador,34.66196659,nacional,DANE_ECV,%
Quindío,2018,pct_personas_usan_computador,42.3961006,nacional,DANE_ECV,%
Risaralda,2018,pct_personas_usan_computador,44.86903562,nacional,DANE_ECV,%
San Andrés,2018,pct_personas_usan_computador,50.15966207,nacional,DANE_ECV,%
Santander,2018,pct_personas_usan_computador,45.03275789,nacional,DANE_ECV,%
Sucre,2018,pct_personas_usan_computador,35.49961059,nacional,DANE_ECV,%
Tolima,2018,pct_personas_usan_computador,41.8809098,nacional,DANE_ECV,%
Valle,2018,pct_personas_usan_computador,48.23677599,nacional,DANE_ECV,%
Vaupés,2018,pct_personas_usan_computador,17.56718217,nacional,DANE_ECV,%
Vichada,2018,pct_personas_usan_computador,19.05223034,nacional,DANE_ECV,%
Total nacional,2020,pct_personas_usan_computador,33.9928741,nacional,DANE_ECV,%
Cabecera,2020,pct_personas_usan_computador,40.753544,nacional,DANE_ECV,%
Centros poblados y rural disperso,2020,pct_personas_usan_computador,11.9243265,nacional,DANE_ECV,%
Amazonas,2020,pct_personas_usan_computador,16.4264514,nacional,DANE_ECV,%
Antioquia,2020,pct_personas_usan_computador,32.8757314,nacional,DANE_ECV,%
Arauca,2020,pct_personas_usan_computador,17.3202524,nacional,DANE_ECV,%
Atlántico,2020,pct_personas_usan_computador,36.0594024,nacional,DANE_ECV,%
Bogotá D.C.,2020,pct_personas_usan_computador,54.9730148,nacional,DANE_ECV,%
Bolívar,2020,pct_personas_usan_computador,27.0897884,nacional,DANE_ECV,%
Boyacá,2020,pct_personas_usan_computador,27.211925,nacional,DANE_ECV,%
Caldas,2020,pct_personas_usan_computador,33.8333724,nacional,DANE_ECV,%
Caquetá,2020,pct_personas_usan_computador,26.986021,nacional,DANE_ECV,%
Casanare,2020,pct_personas_usan_computador,29.8379073,nacional,DANE_ECV,%
Cauca,2020,pct_personas_usan_computador,20.2581797,nacional,DANE_ECV,%
Cesar,2020,pct_personas_usan_computador,22.9640917,nacional,DANE_ECV,%
Córdoba,2020,pct_personas_usan_computador,18.3558553,nacional,DANE_ECV,%
Cundinamarca,2020,pct_personas_usan_computador,36.3062743,nacional,DANE_ECV,%
Chocó,2020,pct_personas_usan_computador,13.1951481,nacional,DANE_ECV,%
Guainía,2020,pct_personas_usan_computador,17.3112066,nacional,DANE_ECV,%
Guaviare,2020,pct_personas_usan_computador,24.0542386,nacional,DANE_ECV,%
Huila,2020,pct_personas_usan_computador,28.0130916,nacional,DANE_ECV,%
La Guajira,2020,pct_personas_usan_computador,16.8934417,nacional,DANE_ECV,%
Magdalena,2020,pct_personas_usan_computador,22.9204983,nacional,DANE_ECV,%
Meta,2020,pct_personas_usan_computador,32.0494082,nacional,DANE_ECV,%
Nariño,2020,pct_personas_usan_computador,27.8247616,nacional,DANE_ECV,%
Norte de Santander,2020,pct_personas_usan_computador,25.3411962,nacional,DANE_ECV,%
Putumayo,2020,pct_personas_usan_computador,20.7442367,nacional,DANE_ECV,%
Quindío,2020,pct_personas_usan_computador,33.1779768,nacional,DANE_ECV,%
Risaralda,2020,pct_personas_usan_computador,36.3759509,nacional,DANE_ECV,%
San Andrés,2020,pct_personas_usan_computador,48.9095076,nacional,DANE_ECV,%
Santander,2020,pct_personas_usan_computador,35.1365988,nacional,DANE_ECV,%
Sucre,2020,pct_personas_usan_computador,19.5041497,nacional,DANE_ECV,%
Tolima,2020,pct_personas_usan_computador,29.899181,nacional,DANE_ECV,%
Valle,2020,pct_personas_usan_computador,39.5323089,nacional,DANE_ECV,%
Vaupés,2020,pct_personas_usan_computador,16.5539979,nacional,DANE_ECV,%
Vichada,2020,pct_personas_usan_computador,8.26379716,nacional,DANE_ECV,%
Total nacional,2024,pct_personas_usan_computador,35.04850958,nacional,DANE_ECV,%
Cabecera,2024,pct_personas_usan_computador,40.55832256,nacional,DANE_ECV,%
Centros poblados y rural disperso,2024,pct_personas_usan_computador,16.50573883,nacional,DANE_ECV,%
Amazonas,2024,pct_personas_usan_computador,33.43320665,nacional,DANE_ECV,%
Antioquia,2024,pct_personas_usan_computador,34.56474521,nacional,DANE_ECV,%
Arauca,2024,pct_personas_usan_computador,23.57420219,nacional,DANE_ECV,%
Atlántico,2024,pct_personas_usan_computador,34.50797059,nacional,DANE_ECV,%
Bogotá D.C.,2024,pct_personas_usan_computador,56.66703336,nacional,DANE_ECV,%
Bolívar,2024,pct_personas_usan_computador,24.79746999,nacional,DANE_ECV,%
Boyacá,2024,pct_personas_usan_computador,32.51620161,nacional,DANE_ECV,%
Caldas,2024,pct_personas_usan_computador,35.00268274,nacional,DANE_ECV,%
Caquetá,2024,pct_personas_usan_computador,26.27443166,nacional,DANE_ECV,%
Casanare,2024,pct_personas_usan_computador,31.80687529,nacional,DANE_ECV,%
Cauca,2024,pct_personas_usan_computador,26.47772461,nacional,DANE_ECV,%
Cesar,2024,pct_personas_usan_computador,28.35427433,nacional,DANE_ECV,%
Córdoba,2024,pct_personas_usan_computador,25.20054942,nacional,DANE_ECV,%
Cundinamarca,2024,pct_personas_usan_computador,40.05676722,nacional,DANE_ECV,%
Chocó,2024,pct_personas_usan_computador,17.72656907,nacional,DANE_ECV,%
Guainía,2024,pct_personas_usan_computador,22.33772274,nacional,DANE_ECV,%
